App,Rating,Size_Megabytes,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver,Genres_1,Genres_description
G-Switch,3.8,8.8,"100,000+",Free,0.0,Everyone,"September 1, 2015",1.3.4,2.3 and up,Action,No description
Offroad G-Class 2018,4.4,28.0,"500,000+",Free,0.0,Everyone,"June 29, 2018",1.7,4.1 and up,Simulation,No description
Radial-G : Infinity,3.6,47.0,"50,000+",Free,0.0,Everyone,"December 7, 2015",1.4,4.1 and up,Arcade,No description
Offroad Car H,4.2,87.0,"100,000+",Free,0.0,Everyone,"October 6, 2017",1.4,2.3 and up,Simulation,No description
Geometry Dash Lite,4.5,58.0,"100,000,000+",Free,0.0,Everyone,"December 22, 2017",2.2,4.0 and up,Arcade,No description
Car Driving Simulator Drift,4.4,57.0,"1,000,000+",Free,0.0,Everyone,"November 3, 2017",1.8.1,4.4 and up,Racing,No description
The World Ends With You,4.6,13.0,"10,000+",Paid,17.99,Everyone 10+,"December 14, 2015",1.0.4,4.0 and up,Arcade,No description
RC City Police Heavy Traffic Racer,4.4,27.0,"1,000,000+",Free,0.0,Everyone,"July 19, 2018",1.2,4.0 and up,Racing,No description
Motorbike Driving Simulator 3D,3.9,65.0,"10,000,000+",Free,0.0,Everyone,"December 25, 2016",4.1,2.3.3 and up,Racing,No description
Helix,3.9,37.0,"500,000+",Free,0.0,Everyone,"September 10, 2017",1.2,4.0 and up,Arcade,No description
I am Nose Doctor -Save my Nose,4.2,34.0,"500,000+",Free,0.0,Everyone,"January 4, 2016",1.1.1,3.1 and up,Casual,No description
Where's My Water? Free,4.4,57.0,"100,000,000+",Free,0.0,Everyone,"November 21, 2017",1.10.0,4.1 and up,Puzzle,Brain Games
Solitaire!,4.7,23.0,"10,000,000+",Free,0.0,Everyone,"June 24, 2018",2.277.0,4.1 and up,Card,No description
iGun Pro -The Original Gun App,4.2,55.0,"10,000,000+",Free,0.0,Everyone,"September 7, 2017",5.26,2.3 and up,Arcade,No description
LINE I Love Coffee,4.0,50.0,"5,000,000+",Free,0.0,Everyone,"November 16, 2016",1.1.5,2.3.3 and up,Simulation,No description
NinJump,4.3,36.0,"10,000,000+",Free,0.0,Everyone,"June 13, 2018",3.1.1,4.1 and up,Arcade,No description
I LOVE PASTA,4.0,43.0,"1,000,000+",Free,0.0,Everyone,"September 8, 2017",1.6.1,2.3.3 and up,Simulation,No description
Talking Tom Cat,4.3,Not informed,"100,000,000+",Free,0.0,Everyone 10+,"July 27, 2018",Varies with device,4.1 and up,Casual,No description
Fidget Spinner,4.2,9.9,"10,000,000+",Free,0.0,Everyone,"November 30, 2017",1.12.5.1,2.1 and up,Arcade,No description
Cook Baked Lasagna,4.2,23.0,"10,000,000+",Free,0.0,Everyone,"March 14, 2018",4.0,4.0 and up,Casual,No description
Cut the Rope GOLD,4.6,43.0,"1,000,000+",Paid,0.99,Everyone,"June 19, 2018",3.7.0,4.1 and up,Puzzle,No description
J-Stars Victory VS Guide,4.1,13.0,"10,000+",Free,0.0,Everyone,"May 14, 2014",1.7,2.2 and up,Action,No description
2048 BTS J Hope KPop Puzzle Game,4.7,2.4,"1,000+",Free,0.0,Everyone,"September 26, 2017",1,2.3.3 and up,Puzzle,No description
KIM KARDASHIAN: HOLLYWOOD,4.3,34.0,"10,000,000+",Free,0.0,Teen,"July 16, 2018",9.2.0,4.0 and up,Adventure,No description
Preschool All-In-One,4.1,44.0,"1,000,000+",Free,0.0,Everyone,"March 28, 2018",6.6,4.0 and up,Casual,Education
Kpop Music Quiz (K-pop Game),4.2,59.0,"100,000+",Free,0.0,Everyone,"May 8, 2017",1.3,4.1 and up,Casual,No description
K-Otic Universe,4.9,40.0,"1,000+",Free,0.0,Everyone,"August 3, 2018",108,4.1 and up,Puzzle,No description
Korean Dungeon: K-Word 1000,4.7,40.0,"10,000+",Free,0.0,Everyone 10+,"November 17, 2017",1.0.4,4.1 and up,Word,No description
Lep's World 🍀,4.3,Not informed,"50,000,000+",Free,0.0,Everyone 10+,"May 26, 2018",3.0.6,4.1 and up,Arcade,No description
SpongeBob Diner Dash,4.0,48.0,"50,000,000+",Free,0.0,Everyone,"August 22, 2013",3.25.3,2.3.3 and up,Casual,No description
Lie Detector,3.1,2.9,"50,000+",Free,0.0,Everyone,"April 4, 2017",1.2.1,4.0.3 and up,Simulation,No description
My Teacher - Classroom Play,4.0,61.0,"10,000,000+",Free,0.0,Everyone,"June 18, 2018",1.1.0,4.1 and up,Role Playing,Pretend Play
Ant Smasher by Best Cool & Fun Games,4.2,29.0,"100,000,000+",Free,0.0,Everyone,"August 1, 2018",9.55,4.0.3 and up,Arcade,No description
Cheating Tom 3 - Genius School,4.3,84.0,"10,000,000+",Free,0.0,Everyone,"July 24, 2018",1.0.20,4.1 and up,Arcade,No description
MapleStory M,3.5,82.0,"1,000,000+",Free,0.0,Everyone 10+,"July 24, 2018",1.2703.273,4.4 and up,Role Playing,No description
M3-X5-X6-M-İ3-İ8 RACİNG 2018,4.4,44.0,"100,000+",Free,0.0,Everyone,"February 12, 2017","1,01",4.0 and up,Arcade,No description
M-acceleration 3D Car Racing,3.9,34.0,"100,000+",Free,0.0,Everyone,"June 28, 2018",1.6,4.1 and up,Racing,No description
Super Hero M Craft Run,3.7,38.0,"100,000+",Free,0.0,Everyone,"July 12, 2017",1.6,4.0.3 and up,Arcade,No description
Don't Hug Me I'm So Scared,3.5,63.0,"50,000+",Free,0.0,Everyone,"June 8, 2018",1.8.5,2.3 and up,Adventure,No description
Rope'n'Fly 4,4.1,59.0,"10,000,000+",Free,0.0,Everyone,"January 29, 2018",3.1,2.3 and up,Action,No description
Dino in City-Dinosaur N Police,3.7,30.0,"1,000,000+",Free,0.0,Teen,"May 23, 2018",2.07,4.1 and up,Simulation,No description
Cops N Robbers - FPS Mini Game,4.2,64.0,"5,000,000+",Free,0.0,Everyone 10+,"July 31, 2018",7.0.4,4.1 and up,Action,No description
Cops N Robbers 2,4.1,46.0,"1,000,000+",Free,0.0,Everyone 10+,"June 2, 2018",2.2.2,4.1 and up,Adventure,No description
Hands 'n Guns Simulator,3.9,76.0,"1,000,000+",Free,0.0,Teen,"July 3, 2018",32,4.1 and up,Simulation,No description
Hide N Seek : Mini Game,3.8,54.0,"500,000+",Free,0.0,Everyone,"July 8, 2018",5.1.3,4.1 and up,Action,No description
Rope'n'Fly 3 - Dusk Till Dawn,4.0,23.0,"10,000,000+",Free,0.0,Everyone 10+,"January 31, 2018",3.6,2.3 and up,Arcade,No description
Drag'n'Boom,4.8,54.0,"1,000,000+",Free,0.0,Everyone 10+,"January 12, 2018",1.1.1,4.4 and up,Arcade,No description
Traps n' Gemstones,4.5,9.1,"1,000+",Paid,4.99,Everyone,"May 17, 2017",1.04,4.0.3 and up,Adventure,No description
Guns'n'Glory Zombies Premium,4.1,34.0,"5,000+",Paid,2.99,Everyone 10+,"July 15, 2016",1.1.5,2.3.3 and up,Strategy,No description
Cops N Robbers,4.0,58.0,"1,000,000+",Free,0.0,Teen,"June 6, 2018",1.5.2,4.1 and up,Adventure,No description
Guns'n'Glory Premium,4.4,21.0,"100,000+",Paid,2.99,Everyone 10+,"September 22, 2017",1.8.1,2.3.3 and up,Strategy,No description
Guns'n'Glory,4.4,22.0,"5,000,000+",Free,0.0,Everyone 10+,"February 9, 2018",1.8.2,4.0 and up,Strategy,No description
Ghosts'n Goblins MOBILE,3.8,28.0,"10,000+",Paid,0.99,Everyone,"March 28, 2017",1.00.02,4.1 and up,Arcade,No description
Mopar Drag N Brag,4.2,17.0,"1,000,000+",Free,0.0,Everyone,"May 25, 2015",1.2.5,4.1 and up,Racing,No description
Fantastic Chefs: Match 'n Cook,4.7,91.0,"500,000+",Free,0.0,Everyone,"July 27, 2018",1.0.7,4.0.3 and up,Puzzle,No description
Guns'n'Glory Heroes Premium,4.3,Not informed,"10,000+",Paid,2.99,Everyone,"November 9, 2017",Varies with device,Varies with device,Strategy,No description
Draw N Guess Multiplayer,3.9,69.0,"1,000,000+",Free,0.0,Everyone,"April 4, 2018",3.0.11,4.0.3 and up,Word,No description
Car Parking Crane N Drifting,4.2,71.0,"50,000+",Free,0.0,Everyone,"February 26, 2018",1.8,4.0.3 and up,Simulation,No description
Lock 'n' Roll Pro - Ad Free,4.6,13.0,"1,000+",Paid,0.99,Everyone,"July 1, 2015",4.0.5,2.3.3 and up,Card,No description
Age of Conquest: N. America,4.5,3.3,"10,000+",Paid,3.99,Everyone,"August 4, 2018",1.0.28,1.5 and up,Strategy,No description
Guns'n'Glory WW2 Premium,4.5,20.0,"100,000+",Paid,2.99,Everyone 10+,"December 8, 2017",1.4.11,4.0 and up,Strategy,No description
Rock n Roll Music Quiz Game,3.7,7.6,"10,000+",Free,0.0,Everyone,"June 6, 2018",5.0,4.1 and up,Trivia,No description
Jump'N'Shoot Attack,4.1,32.0,"1,000+",Paid,2.49,Everyone,"May 26, 2018",1.2,4.1 and up,Arcade,No description
Ghouls'n Ghosts MOBILE,3.9,49.0,"5,000+",Paid,1.99,Everyone 10+,"May 18, 2017",1.00.00,4.1 and up,Arcade,No description
N-Back,4.1,0.91,"10,000+",Free,0.0,Everyone,"February 15, 2016",1.6,2.1 and up,Puzzle,No description
Oddworld: New 'n' Tasty,4.6,34.0,"10,000+",Paid,4.99,Teen,"January 2, 2018",1.0.4,5.0 and up,Action,No description
Knights N Squires,4.4,49.0,"1,000,000+",Free,0.0,Teen,"June 19, 2018",1.4.9,4.0.3 and up,Role Playing,No description
Stand O’Food® (Full),4.4,40.0,"10,000+",Paid,1.99,Everyone,"December 26, 2014",1.5,2.3.3 and up,Casual,No description
Drink-O-Tron The Drinking Game,4.1,45.0,"50,000+",Free,0.0,Mature 17+,"May 31, 2017",1.64,4.0.3 and up,Card,No description
The Maze Runner,4.0,22.0,"10,000,000+",Free,0.0,Everyone,"September 14, 2015",1.8.1,2.3 and up,Action,No description
The Q - Live Trivia Game Network,2.7,14.0,"100,000+",Free,0.0,Everyone,"August 3, 2018",2.4.8,5.0 and up,Trivia,No description
Q,4.2,60.0,"1,000,000+",Free,0.0,Everyone,"April 19, 2018",2.9.4,4.0 and up,Puzzle,No description
Offroad Car Q,4.1,40.0,"1,000,000+",Free,0.0,Everyone,"August 4, 2016",1.0.2,2.3.3 and up,Simulation,No description
Q*bert: Rebooted,4.3,55.0,"1,000,000+",Free,0.0,Everyone,"April 1, 2017",1.1,4.4 and up,Arcade,No description
Gun Shoot War Q,4.2,20.0,"1,000,000+",Free,0.0,Teen,"March 1, 2017",1.0.5,2.3 and up,Arcade,No description
R. Physics Puzzle Game,4.2,60.0,"500,000+",Free,0.0,Everyone,"April 19, 2018",1.0.16,4.3 and up,Puzzle,No description
GT-R R35 Drift Simulator,4.4,62.0,"100,000+",Free,0.0,Everyone,"October 31, 2017",1.0,2.3 and up,Simulation,No description
Offroad Pickup Truck R,4.4,96.0,"1,000,000+",Free,0.0,Everyone,"July 14, 2017",1.4,2.3 and up,Simulation,No description
R-TYPE II,4.3,37.0,"50,000+",Paid,1.99,Everyone,"March 2, 2017",1.1.5,2.3.3 and up,Arcade,No description
Car Parking Nissan GT-R R35 Simulator,3.2,34.0,"100,000+",Free,0.0,Everyone,"December 5, 2017",1.0,4.0 and up,Simulation,No description
R-TYPE,4.5,23.0,"100,000+",Paid,1.99,Everyone,"February 27, 2017",2.3.1,2.3.3 and up,Arcade,No description
Day R Premium,4.8,57.0,"100,000+",Paid,4.99,Teen,"June 21, 2018",1.574,4.0.3 and up,Role Playing,No description
Elemental Knights R Platinum,3.8,93.0,"50,000+",Paid,4.77,Teen,"August 1, 2018",6.2.1,4.1 and up,Role Playing,No description
Wonder5 Masters R,4.1,83.0,"100,000+",Free,0.0,Everyone,"August 2, 2018",1.1.52,4.3 and up,Role Playing,No description
Offroad Pickup Truck S,4.2,20.0,"1,000,000+",Free,0.0,Everyone,"October 10, 2017",1.7,2.3 and up,Simulation,No description
Stupid Zombies,4.5,33.0,"10,000,000+",Free,0.0,Teen,"June 27, 2018",2.0.5,4.2 and up,Arcade,No description
Five Nights at Freddy's 2 Demo,4.3,40.0,"50,000,000+",Free,0.0,Teen,"November 15, 2014",1.07,2.3 and up,Strategy,No description
Crime Wars S. Andreas,4.3,93.0,"500,000+",Free,0.0,Teen,"April 12, 2017",1.2,2.3 and up,Racing,No description
City Taxi Driver sim 2016: Cab simulator Game-s,4.1,57.0,"1,000,000+",Free,0.0,Everyone,"June 12, 2018",1.11,4.1 and up,Simulation,No description
Dino T-Rex,4.0,2.4,"10,000,000+",Free,0.0,Everyone,"June 13, 2018",1.36,4.1 and up,Arcade,No description
Don't Starve: Pocket Edition,4.4,7.9,"100,000+",Paid,4.99,Teen,"July 25, 2018",1.06,5.0 and up,Adventure,No description
"Please, Don't Touch Anything",4.4,46.0,"10,000+",Paid,4.99,Teen,"April 20, 2016",1.1.0,2.3 and up,Puzzle,No description
Please Don't Touch Anything 3D,4.2,20.0,"5,000+",Paid,5.99,Teen,"December 7, 2016",1.1,4.4 and up,Puzzle,No description
Don't Starve: Shipwrecked,4.1,4.9,"10,000+",Paid,4.99,Teen,"July 10, 2018",0.16,5.0 and up,Adventure,No description
Ludo - Don't get angry,4.2,23.0,"1,000+",Paid,1.61,Everyone,"February 24, 2016",1.6.3,2.3.3 and up,Board,No description
Jurassic Life: T Rex Simulator,4.2,35.0,"10,000+",Paid,0.99,Everyone 10+,"August 19, 2014",1.2,2.0.1 and up,Simulation,No description
Hollywood U: Rising Stars,4.2,74.0,"5,000,000+",Free,0.0,Teen,"April 21, 2017",3.8.0,4.0.3 and up,Simulation,No description
ENCHANT U,4.3,11.0,"500,000+",Free,0.0,Everyone,"November 8, 2012",1.2.2,2.1 and up,Casual,No description
Wii U Simulator,3.4,38.0,"100,000+",Free,0.0,Everyone 10+,"April 8, 2018",1.0.1,5.0 and up,Simulation,No description
DRC Sim - Wii U Gamepad,2.4,4.0,"10,000+",Free,0.0,Everyone,"June 25, 2017",2.0,2.3 and up,Casual,No description
U-Craft Mobile,4.2,30.0,"100,000+",Free,0.0,Everyone,"September 11, 2017",1.0.14,4.0.3 and up,Strategy,No description
U-48 Submarine Commander Free,3.5,3.8,"500,000+",Free,0.0,Everyone,"October 7, 2017",1.24,4.0.3 and up,Arcade,No description
Identity V,4.2,38.0,"1,000,000+",Free,0.0,Teen,"July 10, 2018",1.0.144431,4.1 and up,Action,No description
V for Voodoo,4.2,59.0,"1,000,000+",Free,0.0,Teen,"June 28, 2018",3.0.1,6.0 and up,Trivia,No description
Sin City Crime Simulator V - Gangster,4.2,67.0,"100,000+",Free,0.0,Everyone 10+,"April 23, 2018",Varies with device,4.0.3 and up,Action,No description
The Gang Sniper V. Pocket Edition.,3.9,61.0,"500,000+",Free,0.0,Mature 17+,"June 20, 2018",2.1,4.1 and up,Action,No description
San Andreas: Gang Crime V,4.1,42.0,"100,000+",Free,0.0,Mature 17+,"January 28, 2018",1.0.1,2.3 and up,Action,No description
The Grand Bike V,3.8,95.0,"1,000,000+",Free,0.0,Everyone,"February 24, 2018",4.0,4.1 and up,Simulation,No description
FINAL FANTASY V,4.5,4.2,"100,000+",Paid,7.99,Teen,"March 15, 2017",1.2.1,4.0 and up,Role Playing,No description
V for Vampire - Free,4.3,35.0,"500,000+",Free,0.0,Teen,"September 20, 2014",1.0.1,2.1 and up,Puzzle,No description
Mental Hospital V,4.2,25.0,"50,000+",Paid,0.99,Mature 17+,"November 19, 2016",1.04,4.2 and up,Action,No description
Grand Stickman Cover V,4.0,37.0,"100,000+",Free,0.0,Mature 17+,"May 19, 2018",1.0.1,4.1 and up,Action,No description
DRAGON QUEST V,4.7,17.0,"10,000+",Paid,14.99,Teen,"August 1, 2018",1.0.3,2.3 and up,Role Playing,No description
Words With Friends Classic,4.3,Not informed,"50,000,000+",Free,0.0,Everyone,"July 11, 2018",Varies with device,Varies with device,Word,No description
Fantasy Squad W,4.3,47.0,"50,000+",Free,0.0,Everyone 10+,"April 16, 2018",1.5.4,4.1 and up,Role Playing,No description
Draw Something Classic,4.2,43.0,"50,000,000+",Free,0.0,Everyone,"July 28, 2018",2.400.022,4.4 and up,Word,No description
Nose Doctor X: Booger Mania,3.2,34.0,"5,000,000+",Free,0.0,Everyone,"August 31, 2016",1.0.8,4.1 and up,Casual,Pretend Play
Extreme X Ray Robot Stunts,4.3,49.0,"5,000,000+",Free,0.0,Everyone,"May 9, 2017",1.5.1,4.0 and up,Racing,No description
The X-Files: Deep State - Hidden Object Adventure,4.5,53.0,"500,000+",Free,0.0,Teen,"July 18, 2018",2.6.1,5.0 and up,Casual,No description
X-WOLF,4.2,27.0,"100,000+",Free,0.0,Everyone 10+,"February 2, 2018",1.2.0,4.1 and up,Adventure,No description
X-Plane 10 Flight Simulator,4.2,11.0,"1,000,000+",Free,0.0,Everyone,"June 27, 2018",Varies with device,Varies with device,Simulation,No description
Hero Fighter X,4.5,45.0,"500,000+",Free,0.0,Teen,"November 13, 2015",1.091,2.2 and up,Action,No description
Slendrina X,4.4,56.0,"1,000,000+",Free,0.0,Teen,"December 18, 2017",1.02,4.0 and up,Arcade,No description
Flight Simulator X 2016 Free,3.8,Not informed,"1,000,000+",Free,0.0,Everyone,"January 23, 2017",Varies with device,Varies with device,Simulation,No description
Robocar X Ray,4.5,99.0,"1,000,000+",Free,0.0,Mature 17+,"January 23, 2017",1.0,2.3 and up,Action,No description
Space X: Sky Wars of Air Force,4.5,47.0,"1,000,000+",Free,0.0,Everyone,"August 4, 2018",4.0,4.1 and up,Arcade,No description
X-ray scanner simulator,2.7,3.0,"500,000+",Free,0.0,Everyone,"January 8, 2017",7.0,2.1 and up,Casual,No description
X Construction,4.5,8.5,"100,000+",Paid,1.49,Everyone,"July 28, 2015",1.57,2.3 and up,Puzzle,No description
Boomerang Make and Race,4.4,70.0,"10,000,000+",Free,0.0,Everyone,"June 1, 2018",1.5.0,4.0 and up,Racing,Action & Adventure
Vegas Crime Simulator,4.2,99.0,"50,000,000+",Free,0.0,Teen,"August 2, 2018",2.7,4.1 and up,Simulation,No description
PewDiePie's Tuber Simulator,4.8,96.0,"10,000,000+",Free,0.0,Teen,"July 24, 2018",1.25.0,4.1 and up,Casual,No description
Real Gangster Crime,4.3,84.0,"10,000,000+",Free,0.0,Teen,"June 26, 2018",3.5,4.0 and up,Action,No description
Gangster Town,4.1,99.0,"5,000,000+",Free,0.0,Teen,"December 22, 2016",1.7,2.3 and up,Action,No description
Rope Hero 3,4.4,99.0,"5,000,000+",Free,0.0,Teen,"May 8, 2017",1.6,2.3 and up,Action,No description
Z Origins - (Z The Game),4.6,37.0,"50,000+",Paid,2.99,Teen,"November 5, 2014",1.77,2.2 and up,Strategy,No description
Experiment Z - Zombie,4.0,88.0,"10,000,000+",Free,0.0,Mature 17+,"December 4, 2017",2.14,4.1 and up,Action,No description
War Z 2,4.5,87.0,"5,000,000+",Free,0.0,Teen,"April 3, 2018",0.1.219,2.3.3 and up,Strategy,No description
Last Empire - War Z: Strategy,4.2,78.0,"50,000,000+",Free,0.0,Teen,"August 2, 2018",1.0.208,4.0.3 and up,Strategy,No description
Z Day: Hearts of Heroes,3.9,67.0,"1,000,000+",Free,0.0,Everyone 10+,"July 11, 2018",1.0.2,4.0.3 and up,Strategy,No description
Z Champions,4.7,59.0,"1,000,000+",Free,0.0,Teen,"May 28, 2018",Varies with device,4.0 and up,Arcade,No description
WithstandZ - Zombie Survival!,4.3,59.0,"1,000,000+",Free,0.0,Teen,"December 28, 2017",1.0.6.4,4.0 and up,Action,No description
Empire Z: Endless War,4.2,76.0,"5,000,000+",Free,0.0,Teen,"July 16, 2018",2.2.8,4.0.3 and up,Strategy,No description
Zombie War Z : Hero Survival Rules,3.9,62.0,"100,000+",Free,0.0,Mature 17+,"December 13, 2017",1.8,4.0.3 and up,Action,No description
DRAGON BALL Z DOKKAN BATTLE,4.1,80.0,"10,000,000+",Free,0.0,Teen,"July 3, 2018",3.11.0,4.0.3 and up,Action,No description
Cube Z (Pixel Zombies),4.2,56.0,"1,000,000+",Free,0.0,Teen,"July 31, 2016",1.0.11,4.0.3 and up,Action,No description
Z War-Zombie Modern Combat,4.2,72.0,"5,000,000+",Free,0.0,Teen,"August 1, 2018",1.60,4.1 and up,Strategy,No description
GALAK-Z: Variant Mobile,3.9,79.0,"10,000+",Free,0.0,Everyone,"July 30, 2018",1.7.6,4.4 and up,Action,No description
Z City,4.3,98.0,"100,000+",Free,0.0,Teen,"January 29, 2018",1.1.6,4.0 and up,Strategy,No description
Reload: The Z-Team,4.3,91.0,"100,000+",Free,0.0,Everyone 10+,"February 28, 2018",1.6.2,4.4 and up,Action,No description
Rage Z: Multiplayer Zombie FPS Online Shooter,4.1,44.0,"500,000+",Free,0.0,Mature 17+,"December 8, 2016",1.25,4.2 and up,Action,No description
Pixel Z Gunner 3D - Battle Survival Fps,4.2,96.0,"1,000,000+",Free,0.0,Teen,"July 6, 2018",4.1,4.0 and up,Action,No description
Saiyan Z: Super SSJ Ultimate Combat,4.4,61.0,"10,000+",Free,0.0,Everyone,"April 18, 2018",2.0.2,4.0 and up,Adventure,No description
Mini DAYZ: Zombie Survival,4.1,Not informed,"1,000,000+",Free,0.0,Teen,"June 8, 2018",1.4.0,4.4 and up,Action,No description
Z-Empire: Dead Strike,4.6,19.0,"10,000+",Free,0.0,Teen,"June 8, 2018",1.8.7,4.0.3 and up,Strategy,No description
Zombie Avengers:(Dreamsky)Stickman War Z,4.3,96.0,"1,000,000+",Paid,0.99,Teen,"June 26, 2018",2.4.4,2.3 and up,Action,No description
Route Z,3.9,16.0,"500,000+",Free,0.0,Teen,"July 10, 2015",1.5,4.0 and up,Action,No description
Dragon X Adventure: Warrior Z,4.3,29.0,"100,000+",Free,0.0,Everyone 10+,"November 3, 2015",1.1.4,2.3 and up,Action,No description
Ultimate Fighter Z,4.3,24.0,"5,000+",Free,0.0,Everyone,"July 16, 2018",2.0,4.4 and up,Action,No description
Toy Battle Z,4.1,48.0,"10,000+",Free,0.0,Everyone,"July 23, 2018",1.0.4,4.0 and up,Casual,No description
Angry Birds Blast,4.6,99.0,"10,000,000+",Free,0.0,Everyone,"July 27, 2018",1.6.4,4.4 and up,Puzzle,No description
ab,3.8,22.0,"1,000+",Free,0.0,Everyone,"October 27, 2016",1.0,4.0 and up,Casual,No description
Angry Birds Evolution,4.5,88.0,"10,000,000+",Free,0.0,Everyone,"July 30, 2018",1.21.1,5.0 and up,Role Playing,No description
Angry Birds Match,4.7,91.0,"5,000,000+",Free,0.0,Everyone,"July 19, 2018",1.5.0,5.0 and up,Puzzle,No description
Angry Birds POP Bubble Shooter,4.5,99.0,"10,000,000+",Free,0.0,Everyone,"August 2, 2018",3.39.0,4.1 and up,Casual,No description
Angry Birds Epic RPG,4.5,63.0,"10,000,000+",Free,0.0,Everyone,"July 18, 2018",3.0.27430.4799,4.4 and up,Role Playing,No description
Angry Birds Friends,4.2,48.0,"50,000,000+",Free,0.0,Everyone,"June 19, 2018",4.9.0,4.1 and up,Arcade,No description
AB Blast Match 3,4.3,48.0,"10,000+",Free,0.0,Everyone,"June 19, 2018",1.13,4.1 and up,Puzzle,No description
AB Crush Match 3,4.3,54.0,"10,000+",Free,0.0,Everyone,"February 23, 2017",1.1,2.3 and up,Casual,No description
AB Match,4.2,30.0,"1,000+",Free,0.0,Everyone,"May 19, 2018",1.0.4,4.1 and up,Casual,No description
Angry Birds Go!,4.2,82.0,"50,000,000+",Free,0.0,Everyone,"May 30, 2018",2.8.2,4.1 and up,Racing,No description
Angry Birds Star Wars,4.3,45.0,"100,000,000+",Free,0.0,Everyone,"May 25, 2018",1.5.12,4.1 and up,Arcade,No description
Assassin's Creed Identity,3.7,92.0,"500,000+",Paid,1.99,Teen,"November 23, 2016",2.8.2,4.1 and up,Action,No description
ONScripter Plus (Ad Free),4.5,17.0,"1,000+",Paid,3.99,Everyone,"April 7, 2016",1.2.4,4.1 and up,Adventure,No description
Solitaire: Decked Out Ad Free,4.9,35.0,"500,000+",Free,0.0,Everyone,"May 8, 2017",1.3.3,4.1 and up,Card,No description
Alchemy Classic Ad Free,4.6,9.0,"100,000+",Free,0.0,Everyone,"May 26, 2014",1.7.3,1.6 and up,Puzzle,No description
AE Sudoku,4.3,12.0,"100,000+",Free,0.0,Everyone,"July 29, 2015",1.1.0,2.2 and up,Puzzle,No description
AE Jewels 2: Island Adventures,4.2,30.0,"10,000+",Free,0.0,Everyone,"February 24, 2016",1.0,2.3 and up,Action,No description
AE Bubble:Offline Bubble Games,4.2,Not informed,"100,000+",Free,0.0,Everyone,"October 20, 2017",Varies with device,Varies with device,Casual,No description
AE Jewels,4.2,18.0,"50,000+",Free,0.0,Everyone,"August 20, 2015",1.0.5,3.0 and up,Action,No description
AE Spider Solitaire,4.5,Not informed,"500,000+",Free,0.0,Everyone,"June 7, 2017",Varies with device,Varies with device,Card,No description
AE Roundy POP,4.4,26.0,"100,000+",Free,0.0,Everyone,"March 23, 2016",1.1.2,2.3 and up,Casual,No description
Mupen64+AE FREE (N64 Emulator),4.0,12.0,"1,000,000+",Free,0.0,Everyone,"January 19, 2014",2.4.4,2.0 and up,Arcade,No description
Mupen64Plus AE (N64 Emulator),4.2,12.0,"100,000+",Paid,0.99,Everyone,"January 19, 2014",2.4.4,2.0 and up,Arcade,No description
AE Lucky Fishing,4.3,17.0,"1,000,000+",Free,0.0,Teen,"March 14, 2016",2.0.2,2.3 and up,Arcade,No description
AE Solitaire,4.3,26.0,"50,000+",Free,0.0,Everyone,"January 4, 2018",2.3.4,4.0.3 and up,Card,No description
AE Blackjack,4.0,17.0,"100,000+",Free,0.0,Teen,"November 27, 2015",1.3.1,2.3 and up,Card,No description
AE Gun Ball: arcade ball games,3.7,12.0,"1,000,000+",Free,0.0,Everyone,"December 13, 2013",1.0.2,2.2 and up,Arcade,No description
AE 3D MOTOR :Racing Games Free,4.2,Not informed,"5,000,000+",Free,0.0,Everyone,"August 26, 2016",Varies with device,Varies with device,Racing,No description
AE GTO Racing,3.9,35.0,"100,000+",Free,0.0,Everyone 10+,"September 24, 2015",Varies with device,Varies with device,Racing,No description
AE 3D Moto 3,3.9,26.0,"100,000+",Free,0.0,Everyone 10+,"December 31, 2014",1.7.1,2.3 and up,Racing,No description
AE FreeCell,4.2,15.0,"10,000+",Free,0.0,Everyone,"November 6, 2014",1.1.5,2.3 and up,Card,No description
AE City Jump,4.5,27.0,"10,000+",Free,0.0,Everyone,"July 18, 2018",1.0.4,4.0 and up,Action,No description
AE Angry Chef,4.1,39.0,"10,000+",Free,0.0,Everyone 10+,"January 24, 2014",1.0,2.1 and up,Action,No description
AE Master Moto,4.0,37.0,"1,000,000+",Free,0.0,Everyone,"December 10, 2015",1.8.6,2.3 and up,Racing,No description
AE Fishing Hunter,4.4,6.6,"1,000+",Free,0.0,Everyone,"March 15, 2016",0.0.3,3.0 and up,Adventure,No description
Gunship III Vietnam People AF,4.3,19.0,"5,000+",Paid,4.99,Everyone,"December 9, 2016",3.8.4,2.3.3 and up,Simulation,No description
Gun Strike Shoot,4.1,17.0,"10,000,000+",Free,0.0,Teen,"February 21, 2017",1.1.4,2.3 and up,Action,No description
King of Avalon: Dragon Warfare,4.2,64.0,"10,000,000+",Free,0.0,Everyone 10+,"July 31, 2018",4.6.4,4.0.3 and up,Strategy,No description
AG Drive 3D,3.8,22.0,"10,000+",Free,0.0,Everyone,"March 20, 2015",1.0.1,2.3.3 and up,Adventure,No description
AG Subway Simulator Mobile,4.5,47.0,"5,000+",Paid,0.99,Everyone,"June 2, 2018",1.3.0.6,4.1 and up,Simulation,No description
AG Subway Simulator Lite,4.4,56.0,"100,000+",Free,0.0,Everyone,"June 8, 2018",1.2.6,4.1 and up,Simulation,No description
